Feature;Direction
ENSG00000157978_at;-1
ENSG00000065320_at;-1
ENSG00000154640_at;-1
ENSG00000175536_at;-1
ENSG00000204227_at;-1
ENSG00000089163_at;-1
ENSG00000183570_at;-1
ENSG00000110076_at;-1
ENSG00000145757_at;-1
ENSG00000138085_at;-1
ENSG00000102934_at;-1
ENSG00000166833_at;-1
ENSG00000166473_at;-1
ENSG00000169750_at;-1
ENSG00000163482_at;-1
ENSG00000110871_at;-1
ENSG00000186150_at;-1
ENSG00000163749_at;-1
ENSG00000178814_at;-1
ENSG00000164253_at;-1
ENSG00000236271_at;-1
ENSG00000164252_at;-1
ENSG00000154330_at;-1
ENSG00000172340_at;-1
ENSG00000168702_at;-1
ENSG00000119242_at;-1
ENSG00000183066_at;-1
ENSG00000196498_at;-1
ENSG00000186815_at;-1
ENSG00000158008_at;-1
ENSG00000134910_at;-1
ENSG00000172345_at;-1
ENSG00000141002_at;-1
ENSG00000074416_at;-1
ENSG00000123384_at;-1
ENSG00000147130_at;-1
ENSG00000171595_at;-1
ENSG00000178467_at;-1
ENSG00000145029_at;-1
ENSG00000057704_at;-1
ENSG00000138315_at;-1
ENSG00000168118_at;-1
ENSG00000240303_at;-1
ENSG00000119537_at;-1
ENSG00000114023_at;-1
ENSG00000022567_at;-1
ENSG00000166816_at;-1
ENSG00000126107_at;-1
ENSG00000142149_at;-1
ENSG00000257770_at;-1
ENSG00000278220_at;-1
ENSG00000102897_at;-1
ENSG00000162408_at;-1
ENSG00000009724_at;-1
ENSG00000087263_at;-1
ENSG00000137312_at;-1
ENSG00000158850_at;-1
ENSG00000133789_at;-1
ENSG00000143198_at;-1
ENSG00000175348_at;-1
ENSG00000102977_at;-1
ENSG00000099246_at;-1
ENSG00000101306_at;-1
ENSG00000139151_at;-1
ENSG00000223654_at;-1
ENSG00000101493_at;-1
ENSG00000159307_at;-1
ENSG00000142192_at;-1
ENSG00000185272_at;-1
ENSG00000275035_at;-1
ENSG00000178726_at;-1
ENSG00000123983_at;-1
