"","Connectivity","P_value"
"valproic acid",-0.376625,0.00324343104879001
"rifabutin",-0.34038,0.00324965208253377
"levomepromazine",-0.329905,0.00336306322865781
"promazine",-0.33846,0.00340898503197626
"Prestwick-559",-0.332285,0.00345374259890304
"maprotiline",-0.345995,0.00348392972814223
"nicergoline",-0.297975,0.00354099533749534
"GW-8510",-0.365775,0.00364348223737498
"lasalocid",-0.287965,0.00365301123882812
"pyrvinium",-0.31292,0.00369254402719684
"nortriptyline",-0.34699,0.00378577249554174
"prochlorperazine",-0.360245,0.00380907980973993
"norcyclobenzaprine",-0.31996,0.00393532336024753
"fluphenazine",-0.35174,0.00408975703149901
"LY-294002",-0.358135,0.00411893767574182
"raloxifene",-0.301795,0.00421859529359671
"4,5-dianilinophthalimide",-0.80933,0.00628267498138022
"trichostatin A",-0.330245,0.00633598265144979
"eucatropine",-0.288555,0.00642142943077176
"syrosingopine",-0.318895,0.00645941258815716
"mebendazole",-0.300325,0.00661870092285804
"lycorine",0.319895,0.00664477951708415
"rescinnamine",-0.323295,0.00698724933616543
"reserpine",-0.28508,0.0071841830177848
"sirolimus",-0.361685,0.00739316530951035
"trifluoperazine",-0.375195,0.00740528540420065
"vorinostat",-0.37831,0.00868336340839851
"methotrexate",-0.336405,0.00886419685955108
"fulvestrant",-0.281245,0.00906571840168584
"phenazopyridine",-0.321425,0.0091369157254298
"vigabatrin",0.29485,0.00920642280766068
"flupentixol",-0.26909,0.00926710520410208
"chlorpromazine",-0.31255,0.00969016175967964
"ampyrone",-0.302,0.010401674720521
"bromocriptine",-0.29838,0.0107121488723542
"BW-B70C",-0.301915,0.0114192507356868
"fluspirilene",-0.271445,0.0118184187250516
"resveratrol",-0.350465,0.0122483584529612
"cloperastine",-0.274865,0.0127421761091398
"metixene",-0.288785,0.0129112936146001
"thioridazine",-0.338605,0.0134221331165872
"cefadroxil",-0.30246,0.0137402567178655
"tacrine",0.27767,0.0143304245125605
"PNU-0251126",-0.293095,0.0154796292818198
"dihydroergocristine",-0.288655,0.0161950534539758
"HC toxin",-0.371125,0.0165932649073077
"CP-690334-01",-0.28656,0.0166043848165461
"betulinic acid",-0.2769,0.01747866136777
"eldeline",-0.25585,0.0175157287187597
"phenoxybenzamine",-0.33805,0.0189486507598226
"mecamylamine",0.259215,0.0189862623746225
"metyrapone",-0.25581,0.0198362275443801
"quinostatin",-0.318135,0.0198857220420775
"loperamide",-0.29511,0.0199063818912627
"MG-262",0.377565,0.0214367202738175
"sulfafurazole",-0.269645,0.0216357793006888
"Prestwick-685",-0.291985,0.0227334019764944
"sulconazole",-0.274705,0.0227334019764944
"nocodazole",-0.2716,0.0231354367492631
"tyrphostin AG-1478",-0.325505,0.0234125772945319
"antimycin A",-0.282915,0.0234588325898002
"co-dergocrine mesilate",-0.26723,0.0239873058419832
"etamivan",-0.267305,0.0245414847832343
"fluoxetine",-0.27012,0.0249733111724915
"tacrolimus",0.39239,0.0256691782811887
"ethaverine",-0.25181,0.0259113105797091
"0173570-0000",-0.256375,0.0259113105797091
"pimozide",-0.287995,0.0260761956410995
"amiodarone",-0.252995,0.0265764032577465
"verteporfin",0.33002,0.0307314927870944
"benzamil",-0.26397,0.031099946891909
"nifedipine",-0.2897,0.0317588976890253
"clobetasol",-0.286275,0.0324964678079955
"acepromazine",-0.27253,0.0329149426646072
"articaine",0.23901,0.0355450985414299
"mitoxantrone",-0.2829,0.036820178726875
"tribenoside",-0.255355,0.0380693203884086
"deferoxamine",-0.265015,0.0389066815424611
